image,mask
.\image\t18-01516_5.png,.\mask\t18-01516_5-mask.png
.\image\1000003222_285.png,.\mask\1000003222_285-mask.png
.\image\1000002477_205.png,.\mask\1000002477_205-mask.png
.\image\t18-01516_413.png,.\mask\t18-01516_413-mask.png
.\image\1000002477_161.png,.\mask\1000002477_161-mask.png
.\image\1000003222_134.png,.\mask\1000003222_134-mask.png
.\image\t18-01516_394.png,.\mask\t18-01516_394-mask.png
.\image\1000003222_496.png,.\mask\1000003222_496-mask.png
.\image\1000003222_235.png,.\mask\1000003222_235-mask.png
.\image\t18-01144_136.png,.\mask\t18-01144_136-mask.png
.\image\1000003222_90.png,.\mask\1000003222_90-mask.png
.\image\t18-01144_107.png,.\mask\t18-01144_107-mask.png
.\image\1000003222_160.png,.\mask\1000003222_160-mask.png
.\image\1000002477_169.png,.\mask\1000002477_169-mask.png
.\image\t18-01144_314.png,.\mask\t18-01144_314-mask.png
.\image\t18-01516_34.png,.\mask\t18-01516_34-mask.png
.\image\1000003222_103.png,.\mask\1000003222_103-mask.png
.\image\1000002477_167.png,.\mask\1000002477_167-mask.png
.\image\1000003222_123.png,.\mask\1000003222_123-mask.png
.\image\t18-01144_328.png,.\mask\t18-01144_328-mask.png
.\image\t18-01516_159.png,.\mask\t18-01516_159-mask.png
.\image\1000003222_369.png,.\mask\1000003222_369-mask.png
.\image\t18-01144_287.png,.\mask\t18-01144_287-mask.png
.\image\1000003222_21.png,.\mask\1000003222_21-mask.png
.\image\t18-01516_227.png,.\mask\t18-01516_227-mask.png
.\image\t18-01144_299.png,.\mask\t18-01144_299-mask.png
.\image\t18-01516_351.png,.\mask\t18-01516_351-mask.png
.\image\1000003222_270.png,.\mask\1000003222_270-mask.png
.\image\t18-01144_281.png,.\mask\t18-01144_281-mask.png
.\image\t18-01516_259.png,.\mask\t18-01516_259-mask.png
.\image\t18-01516_324.png,.\mask\t18-01516_324-mask.png
.\image\t18-01516_55.png,.\mask\t18-01516_55-mask.png
.\image\1000003222_53.png,.\mask\1000003222_53-mask.png
.\image\t18-01516_497.png,.\mask\t18-01516_497-mask.png
.\image\t18-01144_245.png,.\mask\t18-01144_245-mask.png
.\image\t18-01516_350.png,.\mask\t18-01516_350-mask.png
.\image\1000003222_18.png,.\mask\1000003222_18-mask.png
.\image\1000003222_364.png,.\mask\1000003222_364-mask.png
.\image\1000002477_495.png,.\mask\1000002477_495-mask.png
.\image\t18-01144_167.png,.\mask\t18-01144_167-mask.png
.\image\t18-01516_69.png,.\mask\t18-01516_69-mask.png
.\image\t18-01516_13.png,.\mask\t18-01516_13-mask.png
.\image\1000003222_326.png,.\mask\1000003222_326-mask.png
.\image\1000003222_144.png,.\mask\1000003222_144-mask.png
.\image\1000003222_411.png,.\mask\1000003222_411-mask.png
.\image\t18-01144_57.png,.\mask\t18-01144_57-mask.png
.\image\t18-01516_98.png,.\mask\t18-01516_98-mask.png
.\image\1000002477_158.png,.\mask\1000002477_158-mask.png
.\image\t18-01516_441.png,.\mask\t18-01516_441-mask.png
.\image\1000003222_113.png,.\mask\1000003222_113-mask.png
.\image\t18-01516_187.png,.\mask\t18-01516_187-mask.png
.\image\1000002477_328.png,.\mask\1000002477_328-mask.png
.\image\t18-01144_365.png,.\mask\t18-01144_365-mask.png
.\image\1000002477_128.png,.\mask\1000002477_128-mask.png
.\image\1000003222_476.png,.\mask\1000003222_476-mask.png
.\image\1000003222_168.png,.\mask\1000003222_168-mask.png
.\image\1000003222_253.png,.\mask\1000003222_253-mask.png
.\image\t18-01144_243.png,.\mask\t18-01144_243-mask.png
.\image\1000003222_55.png,.\mask\1000003222_55-mask.png
.\image\t18-01516_498.png,.\mask\t18-01516_498-mask.png
.\image\1000003222_374.png,.\mask\1000003222_374-mask.png
.\image\t18-01144_212.png,.\mask\t18-01144_212-mask.png
.\image\t18-01144_37.png,.\mask\t18-01144_37-mask.png
.\image\t18-01144_423.png,.\mask\t18-01144_423-mask.png
.\image\1000003222_450.png,.\mask\1000003222_450-mask.png
.\image\t18-01144_23.png,.\mask\t18-01144_23-mask.png
.\image\1000002477_469.png,.\mask\1000002477_469-mask.png
.\image\1000003222_126.png,.\mask\1000003222_126-mask.png
.\image\t18-01144_378.png,.\mask\t18-01144_378-mask.png
.\image\t18-01144_192.png,.\mask\t18-01144_192-mask.png
.\image\1000003222_80.png,.\mask\1000003222_80-mask.png
.\image\1000003222_207.png,.\mask\1000003222_207-mask.png
.\image\t18-01144_9.png,.\mask\t18-01144_9-mask.png
.\image\t18-01516_123.png,.\mask\t18-01516_123-mask.png
.\image\t18-01516_341.png,.\mask\t18-01516_341-mask.png
.\image\t18-01144_433.png,.\mask\t18-01144_433-mask.png
.\image\t18-01144_408.png,.\mask\t18-01144_408-mask.png
.\image\1000002477_65.png,.\mask\1000002477_65-mask.png
.\image\t18-01144_177.png,.\mask\t18-01144_177-mask.png
.\image\t18-01516_186.png,.\mask\t18-01516_186-mask.png
.\image\t18-01516_417.png,.\mask\t18-01516_417-mask.png
.\image\t18-01144_205.png,.\mask\t18-01144_205-mask.png
.\image\t18-01144_438.png,.\mask\t18-01144_438-mask.png
.\image\t18-01516_405.png,.\mask\t18-01516_405-mask.png
.\image\1000003222_438.png,.\mask\1000003222_438-mask.png
.\image\t18-01516_442.png,.\mask\t18-01516_442-mask.png
.\image\t18-01144_429.png,.\mask\t18-01144_429-mask.png
.\image\1000003222_162.png,.\mask\1000003222_162-mask.png
.\image\t18-01144_82.png,.\mask\t18-01144_82-mask.png
.\image\t18-01144_100.png,.\mask\t18-01144_100-mask.png
.\image\t18-01516_33.png,.\mask\t18-01516_33-mask.png
.\image\1000002477_482.png,.\mask\1000002477_482-mask.png
.\image\t18-01144_421.png,.\mask\t18-01144_421-mask.png
.\image\1000002477_164.png,.\mask\1000002477_164-mask.png
.\image\1000003222_422.png,.\mask\1000003222_422-mask.png
.\image\t18-01144_319.png,.\mask\t18-01144_319-mask.png
.\image\1000003222_341.png,.\mask\1000003222_341-mask.png
.\image\t18-01516_272.png,.\mask\t18-01516_272-mask.png
.\image\t18-01144_183.png,.\mask\t18-01144_183-mask.png
.\image\t18-01144_275.png,.\mask\t18-01144_275-mask.png
.\image\t18-01516_278.png,.\mask\t18-01516_278-mask.png
.\image\t18-01516_59.png,.\mask\t18-01516_59-mask.png
.\image\t18-01516_79.png,.\mask\t18-01516_79-mask.png
.\image\t18-01144_50.png,.\mask\t18-01144_50-mask.png
.\image\t18-01516_481.png,.\mask\t18-01516_481-mask.png
.\image\t18-01144_346.png,.\mask\t18-01144_346-mask.png
.\image\1000003222_136.png,.\mask\1000003222_136-mask.png
.\image\1000003222_419.png,.\mask\1000003222_419-mask.png
.\image\t18-01516_221.png,.\mask\t18-01516_221-mask.png
.\image\1000003222_244.png,.\mask\1000003222_244-mask.png
.\image\t18-01516_456.png,.\mask\t18-01516_456-mask.png
.\image\t18-01144_497.png,.\mask\t18-01144_497-mask.png
.\image\t18-01516_378.png,.\mask\t18-01516_378-mask.png
.\image\t18-01144_454.png,.\mask\t18-01144_454-mask.png
.\image\t18-01144_422.png,.\mask\t18-01144_422-mask.png
.\image\t18-01144_258.png,.\mask\t18-01144_258-mask.png
.\image\t18-01144_445.png,.\mask\t18-01144_445-mask.png
.\image\1000003222_248.png,.\mask\1000003222_248-mask.png
.\image\1000002477_347.png,.\mask\1000002477_347-mask.png
.\image\t18-01144_132.png,.\mask\t18-01144_132-mask.png
.\image\1000003222_49.png,.\mask\1000003222_49-mask.png
.\image\1000002477_197.png,.\mask\1000002477_197-mask.png
.\image\1000002477_369.png,.\mask\1000002477_369-mask.png
.\image\t18-01144_342.png,.\mask\t18-01144_342-mask.png
.\image\t18-01144_30.png,.\mask\t18-01144_30-mask.png
.\image\t18-01516_300.png,.\mask\t18-01516_300-mask.png
.\image\t18-01144_89.png,.\mask\t18-01144_89-mask.png
.\image\t18-01144_123.png,.\mask\t18-01144_123-mask.png
.\image\t18-01516_205.png,.\mask\t18-01516_205-mask.png
.\image\1000003222_143.png,.\mask\1000003222_143-mask.png
.\image\1000002477_309.png,.\mask\1000002477_309-mask.png
.\image\1000002477_278.png,.\mask\1000002477_278-mask.png
.\image\1000003222_499.png,.\mask\1000003222_499-mask.png
.\image\t18-01516_253.png,.\mask\t18-01516_253-mask.png
.\image\t18-01516_8.png,.\mask\t18-01516_8-mask.png
.\image\1000003222_175.png,.\mask\1000003222_175-mask.png
.\image\1000003222_412.png,.\mask\1000003222_412-mask.png
.\image\1000002477_483.png,.\mask\1000002477_483-mask.png
.\image\t18-01144_265.png,.\mask\t18-01144_265-mask.png
.\image\t18-01144_494.png,.\mask\t18-01144_494-mask.png
.\image\1000003222_28.png,.\mask\1000003222_28-mask.png
.\image\t18-01516_31.png,.\mask\t18-01516_31-mask.png
.\image\t18-01516_40.png,.\mask\t18-01516_40-mask.png
.\image\1000002477_198.png,.\mask\1000002477_198-mask.png
.\image\1000003222_464.png,.\mask\1000003222_464-mask.png
.\image\t18-01144_154.png,.\mask\t18-01144_154-mask.png
.\image\t18-01144_405.png,.\mask\t18-01144_405-mask.png
.\image\t18-01516_37.png,.\mask\t18-01516_37-mask.png
.\image\1000002477_333.png,.\mask\1000002477_333-mask.png
.\image\1000003222_492.png,.\mask\1000003222_492-mask.png
.\image\1000002477_463.png,.\mask\1000002477_463-mask.png
.\image\1000002477_189.png,.\mask\1000002477_189-mask.png
.\image\t18-01516_257.png,.\mask\t18-01516_257-mask.png
.\image\t18-01516_484.png,.\mask\t18-01516_484-mask.png
.\image\t18-01144_257.png,.\mask\t18-01144_257-mask.png
.\image\t18-01516_191.png,.\mask\t18-01516_191-mask.png
.\image\t18-01144_300.png,.\mask\t18-01144_300-mask.png
.\image\1000002477_88.png,.\mask\1000002477_88-mask.png
.\image\1000002477_364.png,.\mask\1000002477_364-mask.png
.\image\1000002477_260.png,.\mask\1000002477_260-mask.png
.\image\t18-01516_64.png,.\mask\t18-01516_64-mask.png
.\image\t18-01144_400.png,.\mask\t18-01144_400-mask.png
.\image\1000002477_63.png,.\mask\1000002477_63-mask.png
.\image\1000002477_70.png,.\mask\1000002477_70-mask.png
.\image\1000003222_349.png,.\mask\1000003222_349-mask.png
.\image\1000002477_79.png,.\mask\1000002477_79-mask.png
.\image\t18-01516_132.png,.\mask\t18-01516_132-mask.png
.\image\1000003222_429.png,.\mask\1000003222_429-mask.png
.\image\t18-01516_471.png,.\mask\t18-01516_471-mask.png
.\image\1000003222_322.png,.\mask\1000003222_322-mask.png
.\image\1000003222_301.png,.\mask\1000003222_301-mask.png
.\image\1000002477_234.png,.\mask\1000002477_234-mask.png
.\image\t18-01144_416.png,.\mask\t18-01144_416-mask.png
.\image\1000003222_418.png,.\mask\1000003222_418-mask.png
.\image\t18-01516_388.png,.\mask\t18-01516_388-mask.png
.\image\t18-01144_246.png,.\mask\t18-01144_246-mask.png
.\image\t18-01516_243.png,.\mask\t18-01516_243-mask.png
.\image\1000002477_427.png,.\mask\1000002477_427-mask.png
.\image\1000003222_68.png,.\mask\1000003222_68-mask.png
.\image\t18-01144_103.png,.\mask\t18-01144_103-mask.png
.\image\t18-01144_289.png,.\mask\t18-01144_289-mask.png
.\image\t18-01144_351.png,.\mask\t18-01144_351-mask.png
.\image\t18-01516_77.png,.\mask\t18-01516_77-mask.png
.\image\t18-01144_6.png,.\mask\t18-01144_6-mask.png
.\image\t18-01144_371.png,.\mask\t18-01144_371-mask.png
.\image\t18-01516_311.png,.\mask\t18-01516_311-mask.png
.\image\t18-01144_288.png,.\mask\t18-01144_288-mask.png
.\image\1000003222_166.png,.\mask\1000003222_166-mask.png
.\image\1000002477_242.png,.\mask\1000002477_242-mask.png
.\image\1000002477_117.png,.\mask\1000002477_117-mask.png
.\image\t18-01144_113.png,.\mask\t18-01144_113-mask.png
.\image\t18-01516_207.png,.\mask\t18-01516_207-mask.png
.\image\t18-01516_216.png,.\mask\t18-01516_216-mask.png
.\image\t18-01516_204.png,.\mask\t18-01516_204-mask.png
.\image\t18-01516_85.png,.\mask\t18-01516_85-mask.png
.\image\1000003222_124.png,.\mask\1000003222_124-mask.png
.\image\t18-01516_459.png,.\mask\t18-01516_459-mask.png
.\image\t18-01144_231.png,.\mask\t18-01144_231-mask.png
.\image\t18-01516_462.png,.\mask\t18-01516_462-mask.png
.\image\1000003222_403.png,.\mask\1000003222_403-mask.png
.\image\1000003222_92.png,.\mask\1000003222_92-mask.png
.\image\1000003222_260.png,.\mask\1000003222_260-mask.png
.\image\t18-01516_125.png,.\mask\t18-01516_125-mask.png
.\image\1000002477_324.png,.\mask\1000002477_324-mask.png
.\image\1000002477_306.png,.\mask\1000002477_306-mask.png
.\image\1000003222_262.png,.\mask\1000003222_262-mask.png
.\image\1000002477_267.png,.\mask\1000002477_267-mask.png
.\image\t18-01144_491.png,.\mask\t18-01144_491-mask.png
.\image\t18-01144_126.png,.\mask\t18-01144_126-mask.png
.\image\1000003222_426.png,.\mask\1000003222_426-mask.png
.\image\t18-01516_152.png,.\mask\t18-01516_152-mask.png
.\image\t18-01516_87.png,.\mask\t18-01516_87-mask.png
.\image\t18-01516_338.png,.\mask\t18-01516_338-mask.png
.\image\t18-01144_201.png,.\mask\t18-01144_201-mask.png
.\image\1000003222_281.png,.\mask\1000003222_281-mask.png
.\image\t18-01144_476.png,.\mask\t18-01144_476-mask.png
.\image\t18-01516_262.png,.\mask\t18-01516_262-mask.png
.\image\t18-01144_220.png,.\mask\t18-01144_220-mask.png
.\image\t18-01144_196.png,.\mask\t18-01144_196-mask.png
.\image\t18-01144_419.png,.\mask\t18-01144_419-mask.png
.\image\1000002477_305.png,.\mask\1000002477_305-mask.png
.\image\t18-01144_390.png,.\mask\t18-01144_390-mask.png
.\image\1000003222_37.png,.\mask\1000003222_37-mask.png
.\image\1000003222_379.png,.\mask\1000003222_379-mask.png
.\image\1000003222_478.png,.\mask\1000003222_478-mask.png
.\image\t18-01516_331.png,.\mask\t18-01516_331-mask.png
.\image\1000002477_223.png,.\mask\1000002477_223-mask.png
.\image\t18-01144_34.png,.\mask\t18-01144_34-mask.png
.\image\t18-01144_440.png,.\mask\t18-01144_440-mask.png
.\image\t18-01516_273.png,.\mask\t18-01516_273-mask.png
.\image\1000003222_484.png,.\mask\1000003222_484-mask.png
.\image\1000003222_410.png,.\mask\1000003222_410-mask.png
.\image\1000002477_493.png,.\mask\1000002477_493-mask.png
.\image\1000003222_296.png,.\mask\1000003222_296-mask.png
.\image\t18-01144_235.png,.\mask\t18-01144_235-mask.png
.\image\t18-01516_488.png,.\mask\t18-01516_488-mask.png
.\image\t18-01516_269.png,.\mask\t18-01516_269-mask.png
.\image\t18-01144_15.png,.\mask\t18-01144_15-mask.png
.\image\t18-01144_424.png,.\mask\t18-01144_424-mask.png
.\image\1000002477_68.png,.\mask\1000002477_68-mask.png
.\image\t18-01516_23.png,.\mask\t18-01516_23-mask.png
.\image\1000003222_307.png,.\mask\1000003222_307-mask.png
.\image\1000003222_363.png,.\mask\1000003222_363-mask.png
.\image\1000003222_425.png,.\mask\1000003222_425-mask.png
.\image\t18-01144_409.png,.\mask\t18-01144_409-mask.png
.\image\t18-01516_415.png,.\mask\t18-01516_415-mask.png
.\image\1000002477_481.png,.\mask\1000002477_481-mask.png
.\image\t18-01144_122.png,.\mask\t18-01144_122-mask.png
.\image\1000002477_229.png,.\mask\1000002477_229-mask.png
.\image\t18-01144_93.png,.\mask\t18-01144_93-mask.png
.\image\t18-01516_454.png,.\mask\t18-01516_454-mask.png
.\image\t18-01144_269.png,.\mask\t18-01144_269-mask.png
.\image\t18-01516_298.png,.\mask\t18-01516_298-mask.png
.\image\t18-01144_85.png,.\mask\t18-01144_85-mask.png
.\image\t18-01516_500.png,.\mask\t18-01516_500-mask.png
.\image\t18-01516_190.png,.\mask\t18-01516_190-mask.png
.\image\t18-01144_263.png,.\mask\t18-01144_263-mask.png
.\image\1000003222_39.png,.\mask\1000003222_39-mask.png
.\image\1000002477_353.png,.\mask\1000002477_353-mask.png
.\image\1000003222_224.png,.\mask\1000003222_224-mask.png
.\image\1000002477_263.png,.\mask\1000002477_263-mask.png
.\image\1000003222_237.png,.\mask\1000003222_237-mask.png
.\image\1000002477_317.png,.\mask\1000002477_317-mask.png
.\image\1000003222_473.png,.\mask\1000003222_473-mask.png
.\image\t18-01516_41.png,.\mask\t18-01516_41-mask.png
.\image\t18-01516_115.png,.\mask\t18-01516_115-mask.png
.\image\1000003222_163.png,.\mask\1000003222_163-mask.png
.\image\1000002477_279.png,.\mask\1000002477_279-mask.png
.\image\1000003222_310.png,.\mask\1000003222_310-mask.png
.\image\t18-01516_99.png,.\mask\t18-01516_99-mask.png
.\image\t18-01516_419.png,.\mask\t18-01516_419-mask.png
.\image\1000003222_142.png,.\mask\1000003222_142-mask.png
.\image\1000003222_1.png,.\mask\1000003222_1-mask.png
.\image\1000003222_279.png,.\mask\1000003222_279-mask.png
.\image\t18-01516_194.png,.\mask\t18-01516_194-mask.png
.\image\1000002477_300.png,.\mask\1000002477_300-mask.png
.\image\t18-01516_46.png,.\mask\t18-01516_46-mask.png
.\image\t18-01144_337.png,.\mask\t18-01144_337-mask.png
.\image\1000003222_87.png,.\mask\1000003222_87-mask.png
.\image\t18-01516_224.png,.\mask\t18-01516_224-mask.png
.\image\1000002477_293.png,.\mask\1000002477_293-mask.png
.\image\t18-01144_1.png,.\mask\t18-01144_1-mask.png
.\image\t18-01144_270.png,.\mask\t18-01144_270-mask.png
.\image\1000003222_165.png,.\mask\1000003222_165-mask.png
.\image\t18-01144_228.png,.\mask\t18-01144_228-mask.png
.\image\t18-01144_48.png,.\mask\t18-01144_48-mask.png
.\image\t18-01516_213.png,.\mask\t18-01516_213-mask.png
.\image\1000002477_120.png,.\mask\1000002477_120-mask.png
.\image\t18-01144_474.png,.\mask\t18-01144_474-mask.png
.\image\1000003222_86.png,.\mask\1000003222_86-mask.png
.\image\t18-01144_170.png,.\mask\t18-01144_170-mask.png
.\image\t18-01144_110.png,.\mask\t18-01144_110-mask.png
.\image\1000002477_212.png,.\mask\1000002477_212-mask.png
.\image\t18-01516_271.png,.\mask\t18-01516_271-mask.png
.\image\t18-01144_330.png,.\mask\t18-01144_330-mask.png
.\image\1000002477_335.png,.\mask\1000002477_335-mask.png
.\image\1000003222_463.png,.\mask\1000003222_463-mask.png
.\image\1000003222_129.png,.\mask\1000003222_129-mask.png
.\image\t18-01144_16.png,.\mask\t18-01144_16-mask.png
.\image\t18-01144_117.png,.\mask\t18-01144_117-mask.png
.\image\1000003222_255.png,.\mask\1000003222_255-mask.png
.\image\1000002477_449.png,.\mask\1000002477_449-mask.png
.\image\1000003222_42.png,.\mask\1000003222_42-mask.png
.\image\1000002477_370.png,.\mask\1000002477_370-mask.png
.\image\1000002477_454.png,.\mask\1000002477_454-mask.png
.\image\t18-01144_8.png,.\mask\t18-01144_8-mask.png
.\image\1000002477_146.png,.\mask\1000002477_146-mask.png
.\image\1000003222_424.png,.\mask\1000003222_424-mask.png
.\image\t18-01516_371.png,.\mask\t18-01516_371-mask.png
.\image\1000002477_244.png,.\mask\1000002477_244-mask.png
.\image\t18-01516_119.png,.\mask\t18-01516_119-mask.png
.\image\t18-01516_242.png,.\mask\t18-01516_242-mask.png
.\image\1000003222_85.png,.\mask\1000003222_85-mask.png
.\image\1000002477_245.png,.\mask\1000002477_245-mask.png
.\image\t18-01144_186.png,.\mask\t18-01144_186-mask.png
.\image\1000002477_85.png,.\mask\1000002477_85-mask.png
.\image\t18-01516_317.png,.\mask\t18-01516_317-mask.png
.\image\1000003222_240.png,.\mask\1000003222_240-mask.png
.\image\1000003222_149.png,.\mask\1000003222_149-mask.png
.\image\1000002477_489.png,.\mask\1000002477_489-mask.png
.\image\1000003222_4.png,.\mask\1000003222_4-mask.png
.\image\t18-01516_183.png,.\mask\t18-01516_183-mask.png
.\image\t18-01144_334.png,.\mask\t18-01144_334-mask.png
.\image\1000003222_390.png,.\mask\1000003222_390-mask.png
.\image\1000003222_440.png,.\mask\1000003222_440-mask.png
.\image\t18-01516_131.png,.\mask\t18-01516_131-mask.png
.\image\t18-01144_64.png,.\mask\t18-01144_64-mask.png
.\image\1000003222_251.png,.\mask\1000003222_251-mask.png
.\image\t18-01144_468.png,.\mask\t18-01144_468-mask.png
.\image\t18-01144_472.png,.\mask\t18-01144_472-mask.png
.\image\1000002477_105.png,.\mask\1000002477_105-mask.png
.\image\t18-01516_452.png,.\mask\t18-01516_452-mask.png
.\image\1000002477_340.png,.\mask\1000002477_340-mask.png
.\image\1000002477_472.png,.\mask\1000002477_472-mask.png
.\image\t18-01144_162.png,.\mask\t18-01144_162-mask.png
.\image\t18-01144_249.png,.\mask\t18-01144_249-mask.png
.\image\1000002477_452.png,.\mask\1000002477_452-mask.png
.\image\1000003222_489.png,.\mask\1000003222_489-mask.png
.\image\1000003222_141.png,.\mask\1000003222_141-mask.png
.\image\1000003222_367.png,.\mask\1000003222_367-mask.png
.\image\t18-01516_71.png,.\mask\t18-01516_71-mask.png
.\image\t18-01516_446.png,.\mask\t18-01516_446-mask.png
.\image\1000002477_446.png,.\mask\1000002477_446-mask.png
.\image\t18-01516_274.png,.\mask\t18-01516_274-mask.png
.\image\t18-01144_71.png,.\mask\t18-01144_71-mask.png
.\image\t18-01144_478.png,.\mask\t18-01144_478-mask.png
.\image\t18-01144_302.png,.\mask\t18-01144_302-mask.png
.\image\t18-01144_194.png,.\mask\t18-01144_194-mask.png
.\image\t18-01144_149.png,.\mask\t18-01144_149-mask.png
.\image\1000002477_362.png,.\mask\1000002477_362-mask.png
.\image\t18-01516_70.png,.\mask\t18-01516_70-mask.png
.\image\1000002477_288.png,.\mask\1000002477_288-mask.png
.\image\1000003222_288.png,.\mask\1000003222_288-mask.png
.\image\1000003222_154.png,.\mask\1000003222_154-mask.png
.\image\t18-01516_84.png,.\mask\t18-01516_84-mask.png
.\image\t18-01516_313.png,.\mask\t18-01516_313-mask.png
.\image\1000002477_381.png,.\mask\1000002477_381-mask.png
.\image\1000003222_347.png,.\mask\1000003222_347-mask.png
.\image\1000003222_350.png,.\mask\1000003222_350-mask.png
.\image\t18-01144_366.png,.\mask\t18-01144_366-mask.png
.\image\t18-01144_163.png,.\mask\t18-01144_163-mask.png
.\image\t18-01516_301.png,.\mask\t18-01516_301-mask.png
.\image\1000002477_186.png,.\mask\1000002477_186-mask.png
.\image\1000003222_392.png,.\mask\1000003222_392-mask.png
.\image\1000003222_498.png,.\mask\1000003222_498-mask.png
.\image\1000002477_334.png,.\mask\1000002477_334-mask.png
.\image\1000002477_71.png,.\mask\1000002477_71-mask.png
.\image\1000003222_446.png,.\mask\1000003222_446-mask.png
.\image\t18-01144_348.png,.\mask\t18-01144_348-mask.png
.\image\1000003222_290.png,.\mask\1000003222_290-mask.png
.\image\t18-01144_52.png,.\mask\t18-01144_52-mask.png
